1.46	-5.0163755
1.68	-4.9017467
2.36	-4.967249
3.3	-5.0163755
3.62	-4.4759827
3.78	-4.0338426
3.96	-2.7729259
4.08	-2.117904
4.32	-1.8231441
4.66	-1.9213973
5.52	-2.0524018
6.26	-2.1015284
7.12	-2.2325327
8.04	-2.363537
9.14	-2.5272925
10.12	-2.658297
10.7	-2.658297
11.02	-2.510917
11.68	-1.8722707
12.2	-1.0534935
12.72	-0.26746726
13.22	0.48580787
13.72	1.2227074
14.28	1.8941048
14.8	2.106987
15.3	2.1233625
15.66	1.9104804
15.98	1.599345
16.3	1.0262009
16.4	0.12554584
16.48	-0.7751092
16.54	-2.1997817
16.58	-3.1168122
16.62	-4.819869
16.62	-5.0
