2.18	-4.9836245
2.36	-2.5927947
2.46	-2.2161572
2.8	-2.0360262
3.94	-1.5120088
4.22	-1.5283843
4.62	-1.3482533
5.06	-1.1026201
5.54	-0.97161573
6.0	-1.1681223
6.12	-1.430131
6.22	-1.8722707
6.28	-2.6746726
6.36	-1.7412664
6.5	-1.3973799
6.7	-1.3155022
7.32	-1.4792576
8.14	4.633111
8.78	-2.0196507
9.36	-2.2652838
9.84	-2.658297
10.22	-2.9366813
10.5	-3.378821
10.64	-3.7718341
10.72	-4.426856
10.8	-4.606987
10.84	-4.0010915
11.04	-3.4606986
11.48	-3.231441
11.9	-3.1495633
12.48	-3.1495633
13.0	-3.2150655
13.64	-3.3133187
14.22	-3.2969432
14.76	-3.19869
15.2	-2.9039302
15.52	-2.3962882
15.76	-1.8395196
15.94	-1.2991266
16.08	-0.9552402
16.16	-0.90611356
16.24	-1.1026201
16.32	-1.790393
16.36	-2.9203057
16.38	-4.0338426
16.38	-5.0
