2.4	-5.0
2.76	-4.492358
3.16	-4.1157207
3.68	-3.591703
4.18	-3.1004367
4.58	-2.6910481
4.86	-2.3144104
5.32	-1.7412664
5.76	-1.1517467
6.1	-0.7423581
6.4	-0.4967249
6.96	-0.3657205
7.58	-0.2510917
8.18	-0.13646288
8.8	-0.12008733
9.32	-0.13646288
9.88	-0.23471616
10.46	-0.3657205
10.98	-0.5786026
11.42	-0.7751092
11.9	-1.0534935
12.2	-1.2336245
12.66	-1.5938865
13.1	-2.0687773
13.46	-2.5927947
13.78	-3.1659389
13.98	-3.6408298
14.14	-4.1157207
14.3	-4.967249
14.4	-5.0
14.48	-4.6561136
14.68	-4.5578604
15.12	-4.4104805
15.48	-4.2958517
15.7	-4.246725
15.94	-4.3777294
16.06	-4.6233625
16.14	-4.9836245
